name,registrationNo,rollNo,program,section,department,subject,semester,isPhysicallyImpaired
Rohan Rijal,024A037-24,BCE-A-37,BCE,A,Computer Engineering,COMP204,4,false
Manoj Upadhyay,024A038-24,BCE-A-38,BCE,A,Computer Engineering,COMP204,4,true
Ved Parajuli,024A039-24,BCE-A-39,BCE,A,Computer Engineering,COMP204,4,false
Jaya Poudel,024A040-24,BCE-A-40,BCE,A,Computer Engineering,COMP204,4,false
Vivek Bhattarai,024A041-24,BCE-A-41,BCE,A,Computer Engineering,COMP204,4,false
Bishal Ghimire,024A042-24,BCE-A-42,BCE,A,Computer Engineering,COMP204,4,false
Ramesh Acharya,024A043-24,BCE-A-43,BCE,A,Computer Engineering,COMP204,4,false
Priyanka Dahal,024A044-24,BCE-A-44,BCE,A,Computer Engineering,COMP204,4,false
Shikha Lohani,024A045-24,BCE-A-45,BCE,A,Computer Engineering,COMP204,4,false
Nisha Niroula,024A046-24,BCE-A-46,BCE,A,Computer Engineering,COMP204,4,false
Navin Amatya,024A047-24,BCE-A-47,BCE,A,Computer Engineering,COMP204,4,false
Prabhat Niroula,024A048-24,BCE-A-48,BCE,A,Computer Engineering,COMP204,4,false
Ankit Thapa,024A049-24,BCE-A-49,BCE,A,Computer Engineering,COMP204,4,false
Aarav Bogati,024A050-24,BCE-A-50,BCE,A,Computer Engineering,COMP204,4,false
Chirag Niroula,024A051-24,BCE-A-51,BCE,A,Computer Engineering,COMP204,4,false
Gaurav Bogati,024A052-24,BCE-A-52,BCE,A,Computer Engineering,COMP204,4,false
Riya Upreti,024A053-24,BCE-A-53,BCE,A,Computer Engineering,COMP204,4,false
Narayan Devkota,024A054-24,BCE-A-54,BCE,A,Computer Engineering,COMP204,4,false
Shashank Pant,024A055-24,BCE-A-55,BCE,A,Computer Engineering,COMP204,4,false
Shruti Kunwar,024A056-24,BCE-A-56,BCE,A,Computer Engineering,COMP204,4,false
Manoj Bhandari,024A057-24,BCE-A-57,BCE,A,Computer Engineering,COMP204,4,true
Ansh Kunwar,024A058-24,BCE-A-58,BCE,A,Computer Engineering,COMP204,4,false
Raj Aryal,024A059-24,BCE-A-59,BCE,A,Computer Engineering,COMP204,4,false
Niraj Tiwari,024A060-24,BCE-A-60,BCE,A,Computer Engineering,COMP204,4,false
Rashmi Koirala,024A061-24,BCE-A-61,BCE,A,Computer Engineering,COMP204,4,false
Bhumika Chaudhary,024A062-24,BCE-A-62,BCE,A,Computer Engineering,COMP204,4,false
Bikash Lohani,024A063-24,BCE-A-63,BCE,A,Computer Engineering,COMP204,4,false
Hari Ojha,024A064-24,BCE-A-64,BCE,A,Computer Engineering,COMP204,4,false
Bishnu Ojha,024A065-24,BCE-A-65,BCE,A,Computer Engineering,COMP204,4,false
Vinod Devkota,024A066-24,BCE-A-66,BCE,A,Computer Engineering,COMP204,4,false
Aditi Subedi,024A067-24,BCE-A-67,BCE,A,Computer Engineering,COMP204,4,false
Nisha Aryal,024A068-24,BCE-A-68,BCE,A,Computer Engineering,COMP204,4,false
Simran Singh,024A069-24,BCE-A-69,BCE,A,Computer Engineering,COMP204,4,false
Suman Upadhyay,024A070-24,BCE-A-70,BCE,A,Computer Engineering,COMP204,4,false
Hemant Shahi,024A071-24,BCE-A-71,BCE,A,Computer Engineering,COMP204,4,true
Sunita Bhandari,024A072-24,BCE-A-72,BCE,A,Computer Engineering,COMP204,4,false
Rashmi Carki,024A073-24,BCE-A-73,BCE,A,Computer Engineering,COMP204,4,false
Pradeep Banskota,024A074-24,BCE-A-74,BCE,A,Computer Engineering,COMP204,4,false
Aashish Silwal,024A075-24,BCE-A-75,BCE,A,Computer Engineering,COMP204,4,false
Kriti Oli,024A076-24,BCE-A-76,BCE,A,Computer Engineering,COMP204,4,false
Sachin Koirala,024A077-24,BCE-A-77,BCE,A,Computer Engineering,COMP204,4,false
Sushil Ranjitkar,024A078-24,BCE-A-78,BCE,A,Computer Engineering,COMP204,4,false
Manoj Maharjan,024A079-24,BCE-A-79,BCE,A,Computer Engineering,COMP204,4,false
Varun Pant,024A080-24,BCE-A-80,BCE,A,Computer Engineering,COMP204,4,false
Rohan Malla,024A081-24,BCE-A-81,BCE,A,Computer Engineering,COMP204,4,false
Sushant Dixit,024B001-24,BCE-B-01,BCE,B,Computer Engineering,COMP204,4,false
Akash Budhathoki,024B002-24,BCE-B-02,BCE,B,Computer Engineering,COMP204,4,false
Prashant Baral,024B003-24,BCE-B-03,BCE,B,Computer Engineering,COMP204,4,false
Nabin Tuladhar,024B004-24,BCE-B-04,BCE,B,Computer Engineering,COMP204,4,false
Namrata Khadka,024B005-24,BCE-B-05,BCE,B,Computer Engineering,COMP204,4,false
Reena Ghimire,024B006-24,BCE-B-06,BCE,B,Computer Engineering,COMP204,4,false
Aryan Sharma,024B007-24,BCE-B-07,BCE,B,Computer Engineering,COMP204,4,false
Umesh Tiwari,024B008-24,BCE-B-08,BCE,B,Computer Engineering,COMP204,4,false
Shyam Bogati,024B009-24,BCE-B-09,BCE,B,Computer Engineering,COMP204,4,false
Madhav Kunwar,024B010-24,BCE-B-10,BCE,B,Computer Engineering,COMP204,4,false
Rahul Aryal,024B011-24,BCE-B-11,BCE,B,Computer Engineering,COMP204,4,false
Pramod Agarwal,024B012-24,BCE-B-12,BCE,B,Computer Engineering,COMP204,4,false
Prem Shrestha,024B013-24,BCE-B-13,BCE,B,Computer Engineering,COMP204,4,false
Sneha Bohara,024B014-24,BCE-B-14,BCE,B,Computer Engineering,COMP204,4,false
Shikha Khadka,024B015-24,BCE-B-15,BCE,B,Computer Engineering,COMP204,4,false
Sudhir Chaudhary,024B016-24,BCE-B-16,BCE,B,Computer Engineering,COMP204,4,false
Gaurav Dixit,024B017-24,BCE-B-17,BCE,B,Computer Engineering,COMP204,4,false
Raju Bohara,024B018-24,BCE-B-18,BCE,B,Computer Engineering,COMP204,4,false
Om Bohara,024B019-24,BCE-B-19,BCE,B,Computer Engineering,COMP204,4,false
Laxmi Adhikari,024B020-24,BCE-B-20,BCE,B,Computer Engineering,COMP204,4,false
Bishal Acharya,024B021-24,BCE-B-21,BCE,B,Computer Engineering,COMP204,4,false
Sonali Koirala,024B022-24,BCE-B-22,BCE,B,Computer Engineering,COMP204,4,false
Rakesh Kunwar,024B023-24,BCE-B-23,BCE,B,Computer Engineering,COMP204,4,false
Aashish Amatya,024B024-24,BCE-B-24,BCE,B,Computer Engineering,COMP204,4,false
Usha Karki,024B025-24,BCE-B-25,BCE,B,Computer Engineering,COMP204,4,false
Kiran Rai,024B026-24,BCE-B-26,BCE,B,Computer Engineering,COMP204,4,false
Manjula Prajapati,024B027-24,BCE-B-27,BCE,B,Computer Engineering,COMP204,4,false
Pramod Agarwal,024B028-24,BCE-B-28,BCE,B,Computer Engineering,COMP204,4,false
Simran Devkota,024B029-24,BCE-B-29,BCE,B,Computer Engineering,COMP204,4,false
Usha Koirala,024B030-24,BCE-B-30,BCE,B,Computer Engineering,COMP204,4,false
Sudhir Dixit,024B031-24,BCE-B-31,BCE,B,Computer Engineering,COMP204,4,false
Raman Dangal,024B032-24,BCE-B-32,BCE,B,Computer Engineering,COMP204,4,false
Sunita Pradhan,024B033-24,BCE-B-33,BCE,B,Computer Engineering,COMP204,4,false
Harsh Shrestha,024B034-24,BCE-B-34,BCE,B,Computer Engineering,COMP204,4,false
Surya Tiwari,024B035-24,BCE-B-35,BCE,B,Computer Engineering,COMP204,4,false
Shikha Bhandari,024B036-24,BCE-B-36,BCE,B,Computer Engineering,COMP204,4,false
Hari Baral,024B037-24,BCE-B-37,BCE,B,Computer Engineering,COMP204,4,false
Niraj Raut,024B038-24,BCE-B-38,BCE,B,Computer Engineering,COMP204,4,false
Siddharth Tamang,024B039-24,BCE-B-39,BCE,B,Computer Engineering,COMP204,4,false
Aryan Basnet,024B040-24,BCE-B-40,BCE,B,Computer Engineering,COMP204,4,false
Megha Rajbanshi,024B041-24,BCE-B-41,BCE,B,Computer Engineering,COMP204,4,false
Nisha Karki,024B042-24,BCE-B-42,BCE,B,Computer Engineering,COMP204,4,false
Roshan Sherpa,024B043-24,BCE-B-43,BCE,B,Computer Engineering,COMP204,4,false
Raju Rawal,024B044-24,BCE-B-44,BCE,B,Computer Engineering,COMP204,4,false
Lokesh Rai,024B045-24,BCE-B-45,BCE,B,Computer Engineering,COMP204,4,false
Sneha Dangal,024B046-24,BCE-B-46,BCE,B,Computer Engineering,COMP204,4,false
Niraj Rai,024B047-24,BCE-B-47,BCE,B,Computer Engineering,COMP204,4,false
Priyanka Amatya,024B048-24,BCE-B-48,BCE,B,Computer Engineering,COMP204,4,false
Mohit Khanal,024B049-24,BCE-B-49,BCE,B,Computer Engineering,COMP204,4,false
Sneha Sharma,024B050-24,BCE-B-50,BCE,B,Computer Engineering,COMP204,4,false
Namrata Tiwari,024B051-24,BCE-B-51,BCE,B,Computer Engineering,COMP204,4,false
Swati Bohara,024B052-24,BCE-B-52,BCE,B,Computer Engineering,COMP204,4,false
Vipin Adhikari,024B053-24,BCE-B-53,BCE,B,Computer Engineering,COMP204,4,false
Praveen Khanal,024B054-24,BCE-B-54,BCE,B,Computer Engineering,COMP204,4,false
Mohit Joshi,024B055-24,BCE-B-55,BCE,B,Computer Engineering,COMP204,4,false
Chirag Subedi,024B056-24,BCE-B-56,BCE,B,Computer Engineering,COMP204,4,false
Sarita Dixit,024B057-24,BCE-B-57,BCE,B,Computer Engineering,COMP204,4,false
Manjula Devkota,024B058-24,BCE-B-58,BCE,B,Computer Engineering,COMP204,4,false
Samir Sapkota,024B059-24,BCE-B-59,BCE,B,Computer Engineering,COMP204,4,false
Rohit Niroula,024B060-24,BCE-B-60,BCE,B,Computer Engineering,COMP204,4,false
Niraj Khatri,024B061-24,BCE-B-61,BCE,B,Computer Engineering,COMP204,4,false
Dinesh Bhandari,024B062-24,BCE-B-62,BCE,B,Computer Engineering,COMP204,4,false
Sudhir Maharjan,024B063-24,BCE-B-63,BCE,B,Computer Engineering,COMP204,4,false
Usha Shrestha,024B064-24,BCE-B-64,BCE,B,Computer Engineering,COMP204,4,false
Rajendra Rijal,024B065-24,BCE-B-65,BCE,B,Computer Engineering,COMP204,4,false
Jatin Banskota,024B066-24,BCE-B-66,BCE,B,Computer Engineering,COMP204,4,false
Sunita Budhathoki,024B067-24,BCE-B-67,BCE,B,Computer Engineering,COMP204,4,false
Pooja Sharma,024B068-24,BCE-B-68,BCE,B,Computer Engineering,COMP204,4,false
Shivam Devkota,024B069-24,BCE-B-69,BCE,B,Computer Engineering,COMP204,4,false
Shakti Shah,024B070-24,BCE-B-70,BCE,B,Computer Engineering,COMP204,4,true
Karan Pandey,024B071-24,BCE-B-71,BCE,B,Computer Engineering,COMP204,4,false
Abhinav Chalise,024B072-24,BCE-B-72,BCE,B,Computer Engineering,COMP204,4,false
Rekha Oli,024B073-24,BCE-B-73,BCE,B,Computer Engineering,COMP204,4,false
Upendra Pant,024B074-24,BCE-B-74,BCE,B,Computer Engineering,COMP204,4,false
Om Maharjan,024B075-24,BCE-B-75,BCE,B,Computer Engineering,COMP204,4,true
Sushma Khatri,024B076-24,BCE-B-76,BCE,B,Computer Engineering,COMP204,4,false
Himanshu Tiwari,024B077-24,BCE-B-77,BCE,B,Computer Engineering,COMP204,4,false
Umesh Tuladhar,024B078-24,BCE-B-78,BCE,B,Computer Engineering,COMP204,4,false
Sagar Tiwari,024B079-24,BCE-B-79,BCE,B,Computer Engineering,COMP204,4,false
Ansh Ojha,024B080-24,BCE-B-80,BCE,B,Computer Engineering,COMP204,4,false
Shiva Gautam,024B081-24,BCE-B-81,BCE,B,Computer Engineering,COMP204,4,false
Nitin Dixit,024C001-24,BCE-C-01,BCE,C,Computer Engineering,COMP204,4,false
Vivek Rijal,024C002-24,BCE-C-02,BCE,C,Computer Engineering,COMP204,4,false
Mohit Lama,024C003-24,BCE-C-03,BCE,C,Computer Engineering,COMP204,4,false
Vijay Shahi,024C004-24,BCE-C-04,BCE,C,Computer Engineering,COMP204,4,false
Samir Sapkota,024C005-24,BCE-C-05,BCE,C,Computer Engineering,COMP204,4,false
Vijay Timilsina,024C006-24,BCE-C-06,BCE,C,Computer Engineering,COMP204,4,false
Ankit Banskota,024C007-24,BCE-C-07,BCE,C,Computer Engineering,COMP204,4,false
Rishi Shah,024C008-24,BCE-C-08,BCE,C,Computer Engineering,COMP204,4,false
Kriti Tamang,024C009-24,BCE-C-09,BCE,C,Computer Engineering,COMP204,4,false
Varun Rai,024C010-24,BCE-C-10,BCE,C,Computer Engineering,COMP204,4,false
Nitin Amatya,024C011-24,BCE-C-11,BCE,C,Computer Engineering,COMP204,4,false
Shiva Karmacharya,024C012-24,BCE-C-12,BCE,C,Computer Engineering,COMP204,4,false
Raj Ranjitkar,024C013-24,BCE-C-13,BCE,C,Computer Engineering,COMP204,4,false
Ankit Sharma,024C014-24,BCE-C-14,BCE,C,Computer Engineering,COMP204,4,false
Ruchi Carki,024C015-24,BCE-C-15,BCE,C,Computer Engineering,COMP204,4,false
Prakash Banskota,024C016-24,BCE-C-16,BCE,C,Computer Engineering,COMP204,4,false
Sushil Devkota,024C017-24,BCE-C-17,BCE,C,Computer Engineering,COMP204,4,false
Shashank Poudel,024C018-24,BCE-C-18,BCE,C,Computer Engineering,COMP204,4,false
Rajesh Timilsina,024C019-24,BCE-C-19,BCE,C,Computer Engineering,COMP204,4,false
Suman Ghimire,024C020-24,BCE-C-20,BCE,C,Computer Engineering,COMP204,4,false
Vishnu Ghimire,024C021-24,BCE-C-21,BCE,C,Computer Engineering,COMP204,4,false
Sanjay Tamang,024C022-24,BCE-C-22,BCE,C,Computer Engineering,COMP204,4,false
Gaurav Thapa,024C023-24,BCE-C-23,BCE,C,Computer Engineering,COMP204,4,false
Laxmi Lohani,024C024-24,BCE-C-24,BCE,C,Computer Engineering,COMP204,4,false
Umesh Dahal,024C025-24,BCE-C-25,BCE,C,Computer Engineering,COMP204,4,false
Prabhat Pant,024C026-24,BCE-C-26,BCE,C,Computer Engineering,COMP204,4,false
Om Tamang,024C027-24,BCE-C-27,BCE,C,Computer Engineering,COMP204,4,false
Shashank Pant,024C028-24,BCE-C-28,BCE,C,Computer Engineering,COMP204,4,false
Chanda Sherpa,024C029-24,BCE-C-29,BCE,C,Computer Engineering,COMP204,4,false
Yogesh Bogati,024C030-24,BCE-C-30,BCE,C,Computer Engineering,COMP204,4,false
Utkarsh Gyawali,024C031-24,BCE-C-31,BCE,C,Computer Engineering,COMP204,4,false
Deepika Karki,024C032-24,BCE-C-32,BCE,C,Computer Engineering,COMP204,4,false
Usha Pradhan,024C033-24,BCE-C-33,BCE,C,Computer Engineering,COMP204,4,false
Kriti Koirala,024C034-24,BCE-C-34,BCE,C,Computer Engineering,COMP204,4,false
Umesh Shahi,024C035-24,BCE-C-35,BCE,C,Computer Engineering,COMP204,4,false
Samir Dhakal,024C036-24,BCE-C-36,BCE,C,Computer Engineering,COMP204,4,false
Suresh Rayamajhi,024C037-24,BCE-C-37,BCE,C,Computer Engineering,COMP204,4,false
Uday Regmi,024C038-24,BCE-C-38,BCE,C,Computer Engineering,COMP204,4,false
Vipin Rana,024C039-24,BCE-C-39,BCE,C,Computer Engineering,COMP204,4,false
Shreya Rawal,024C040-24,BCE-C-40,BCE,C,Computer Engineering,COMP204,4,false
Tara Karki,024C041-24,BCE-C-41,BCE,C,Computer Engineering,COMP204,4,false
Reena Baral,024C042-24,BCE-C-42,BCE,C,Computer Engineering,COMP204,4,false
Priya Singh,024C043-24,BCE-C-43,BCE,C,Computer Engineering,COMP204,4,false
Vishnu Gautam,024C044-24,BCE-C-44,BCE,C,Computer Engineering,COMP204,4,false
Chirag Chapagain,024C045-24,BCE-C-45,BCE,C,Computer Engineering,COMP204,4,false
Ishaan Rajbanshi,024C046-24,BCE-C-46,BCE,C,Computer Engineering,COMP204,4,false
Chirag Banskota,024C047-24,BCE-C-47,BCE,C,Computer Engineering,COMP204,4,false
Nisha Giri,024C048-24,BCE-C-48,BCE,C,Computer Engineering,COMP204,4,false
Vishnu Chhetri,024C049-24,BCE-C-49,BCE,C,Computer Engineering,COMP204,4,false
Shruti Poudel,024C050-24,BCE-C-50,BCE,C,Computer Engineering,COMP204,4,false
Prateek Puri,024C051-24,BCE-C-51,BCE,C,Computer Engineering,COMP204,4,false
Gaurav Upreti,024C052-24,BCE-C-52,BCE,C,Computer Engineering,COMP204,4,false
Jaya Basnet,024C053-24,BCE-C-53,BCE,C,Computer Engineering,COMP204,4,false
Manjula Shrestha,024C054-24,BCE-C-54,BCE,C,Computer Engineering,COMP204,4,false
Yash Dhungana,024C055-24,BCE-C-55,BCE,C,Computer Engineering,COMP204,4,false
Yash Gautam,024C056-24,BCE-C-56,BCE,C,Computer Engineering,COMP204,4,false
Manjula Carki,024C057-24,BCE-C-57,BCE,C,Computer Engineering,COMP204,4,false
Ruchi Malla,024C058-24,BCE-C-58,BCE,C,Computer Engineering,COMP204,4,false
Vijay Tiwari,024C059-24,BCE-C-59,BCE,C,Computer Engineering,COMP204,4,false
Vijay Bogati,024C060-24,BCE-C-60,BCE,C,Computer Engineering,COMP204,4,false
Dinesh Dahal,024C061-24,BCE-C-61,BCE,C,Computer Engineering,COMP204,4,false
Puneet Dangal,024C062-24,BCE-C-62,BCE,C,Computer Engineering,COMP204,4,false
Shakti Pandey,024C063-24,BCE-C-63,BCE,C,Computer Engineering,COMP204,4,false
Bhawana Bhattarai,024C064-24,BCE-C-64,BCE,C,Computer Engineering,COMP204,4,false
Namrata Dixit,024C065-24,BCE-C-65,BCE,C,Computer Engineering,COMP204,4,false
Rajendra Tuladhar,024C066-24,BCE-C-66,BCE,C,Computer Engineering,COMP204,4,false
Abhinav Shah,024C067-24,BCE-C-67,BCE,C,Computer Engineering,COMP204,4,false
Sneha Gautam,024C068-24,BCE-C-68,BCE,C,Computer Engineering,COMP204,4,false
Rishi Bista,024C069-24,BCE-C-69,BCE,C,Computer Engineering,COMP204,4,false
Shikha Rajbanshi,024C070-24,BCE-C-70,BCE,C,Computer Engineering,COMP204,4,false
Madhav Rijal,024C071-24,BCE-C-71,BCE,C,Computer Engineering,COMP204,4,false
Kavya Rana,024C072-24,BCE-C-72,BCE,C,Computer Engineering,COMP204,4,false
Kushal Sapkota,024C073-24,BCE-C-73,BCE,C,Computer Engineering,COMP204,4,false
Shubham Ojha,024C074-24,BCE-C-74,BCE,C,Computer Engineering,COMP204,4,false
Kriti Banskota,024C075-24,BCE-C-75,BCE,C,Computer Engineering,COMP204,4,false
Rekha Thapa,024C076-24,BCE-C-76,BCE,C,Computer Engineering,COMP204,4,false
Sonali Acharya,024C077-24,BCE-C-77,BCE,C,Computer Engineering,COMP204,4,false
Ayush Dhakal,024C078-24,BCE-C-78,BCE,C,Computer Engineering,COMP204,4,false
Shreya Sharma,024C079-24,BCE-C-79,BCE,C,Computer Engineering,COMP204,4,false
Ananya Agarwal,024C080-24,BCE-C-80,BCE,C,Computer Engineering,COMP204,4,false
Prem Rana,024C081-24,BCE-C-81,BCE,C,Computer Engineering,COMP204,4,false
Kiran Carki,024D001-24,BCE-D-01,BCE,D,Computer Engineering,COMP204,4,false
Sachin Pant,024D002-24,BCE-D-02,BCE,D,Computer Engineering,COMP204,4,false
Sanjay Karmacharya,024D003-24,BCE-D-03,BCE,D,Computer Engineering,COMP204,4,false
Rajat Timilsina,024D004-24,BCE-D-04,BCE,D,Computer Engineering,COMP204,4,false
Hemant Magar,024D005-24,BCE-D-05,BCE,D,Computer Engineering,COMP204,4,false
Siddharth Bohara,024D006-24,BCE-D-06,BCE,D,Computer Engineering,COMP204,4,false
Ramesh Shah,024D007-24,BCE-D-07,BCE,D,Computer Engineering,COMP204,4,true
Kishan Banskota,024D008-24,BCE-D-08,BCE,D,Computer Engineering,COMP204,4,false
Mukesh Tuladhar,024D009-24,BCE-D-09,BCE,D,Computer Engineering,COMP204,4,false
Nikhil Lohani,024D010-24,BCE-D-10,BCE,D,Computer Engineering,COMP204,4,false
Sachin Koirala,024D011-24,BCE-D-11,BCE,D,Computer Engineering,COMP204,4,false
Vinay Chhetri,024D012-24,BCE-D-12,BCE,D,Computer Engineering,COMP204,4,false
Amit Devkota,024D013-24,BCE-D-13,BCE,D,Computer Engineering,COMP204,4,false
Sarita Timilsina,024D014-24,BCE-D-14,BCE,D,Computer Engineering,COMP204,4,false
Nabin Magar,024D015-24,BCE-D-15,BCE,D,Computer Engineering,COMP204,4,true
Saurabh Shrestha,024D016-24,BCE-D-16,BCE,D,Computer Engineering,COMP204,4,false
Jatin Khadka,024D017-24,BCE-D-17,BCE,D,Computer Engineering,COMP204,4,false
Vinod Shrestha,024D018-24,BCE-D-18,BCE,D,Computer Engineering,COMP204,4,false
Kamal Dahal,024D019-24,BCE-D-19,BCE,D,Computer Engineering,COMP204,4,false
Bipin Chapagain,024D020-24,BCE-D-20,BCE,D,Computer Engineering,COMP204,4,false
Diya Adhikari,024D021-24,BCE-D-21,BCE,D,Computer Engineering,COMP204,4,false
Shiva Pandey,024D022-24,BCE-D-22,BCE,D,Computer Engineering,COMP204,4,false
Harsh Pandey,024D023-24,BCE-D-23,BCE,D,Computer Engineering,COMP204,4,false
Vijay Bogati,024D024-24,BCE-D-24,BCE,D,Computer Engineering,COMP204,4,false
Chirag Banskota,024D025-24,BCE-D-25,BCE,D,Computer Engineering,COMP204,4,false
Tarun Ranjitkar,024D026-24,BCE-D-26,BCE,D,Computer Engineering,COMP204,4,false
Akash Upadhyay,024D027-24,BCE-D-27,BCE,D,Computer Engineering,COMP204,4,true
Sahil Magar,024D028-24,BCE-D-28,BCE,D,Computer Engineering,COMP204,4,false
Rajendra Bista,024D029-24,BCE-D-29,BCE,D,Computer Engineering,COMP204,4,false
Diksha Sapkota,024D030-24,BCE-D-30,BCE,D,Computer Engineering,COMP204,4,false
Priyanka Dahal,024D031-24,BCE-D-31,BCE,D,Computer Engineering,COMP204,4,false
Kiran Amatya,024D032-24,BCE-D-32,BCE,D,Computer Engineering,COMP204,4,false
Navin Prajapati,024D033-24,BCE-D-33,BCE,D,Computer Engineering,COMP204,4,false
Aarav Thapa,024D034-24,BCE-D-34,BCE,D,Computer Engineering,COMP204,4,false
Aarav Oli,024D035-24,BCE-D-35,BCE,D,Computer Engineering,COMP204,4,false
Shruti Maharjan,024D036-24,BCE-D-36,BCE,D,Computer Engineering,COMP204,4,false
Rajat Raut,024D037-24,BCE-D-37,BCE,D,Computer Engineering,COMP204,4,false
Kamal Basnet,024D038-24,BCE-D-38,BCE,D,Computer Engineering,COMP204,4,false
Sneha Pandey,024D039-24,BCE-D-39,BCE,D,Computer Engineering,COMP204,4,false
Sahil Gurung,024D040-24,BCE-D-40,BCE,D,Computer Engineering,COMP204,4,false
Subhash Bogati,024D041-24,BCE-D-41,BCE,D,Computer Engineering,COMP204,4,false
Akash Rawal,024D042-24,BCE-D-42,BCE,D,Computer Engineering,COMP204,4,false
Priti Shah,024D043-24,BCE-D-43,BCE,D,Computer Engineering,COMP204,4,false
Mukesh Banskota,024D044-24,BCE-D-44,BCE,D,Computer Engineering,COMP204,4,false
Vinay Budhathoki,024D045-24,BCE-D-45,BCE,D,Computer Engineering,COMP204,4,false
Rashmi Rijal,024D046-24,BCE-D-46,BCE,D,Computer Engineering,COMP204,4,false
Bishal Dangal,024D047-24,BCE-D-47,BCE,D,Computer Engineering,COMP204,4,false
Prashant Pant,024D048-24,BCE-D-48,BCE,D,Computer Engineering,COMP204,4,false
Himanshu Maharjan,024D049-24,BCE-D-49,BCE,D,Computer Engineering,COMP204,4,false
Sonali Raut,024D050-24,BCE-D-50,BCE,D,Computer Engineering,COMP204,4,false
Vivek Poudel,024D051-24,BCE-D-51,BCE,D,Computer Engineering,COMP204,4,true
Manoj Khadka,024D052-24,BCE-D-52,BCE,D,Computer Engineering,COMP204,4,false
Vijay Niroula,024D053-24,BCE-D-53,BCE,D,Computer Engineering,COMP204,4,false
Sneha Silwal,024D054-24,BCE-D-54,BCE,D,Computer Engineering,COMP204,4,false
Karan Chalise,024D055-24,BCE-D-55,BCE,D,Computer Engineering,COMP204,4,false
Raman Shah,024D056-24,BCE-D-56,BCE,D,Computer Engineering,COMP204,4,false
Nisha Ranjitkar,024D057-24,BCE-D-57,BCE,D,Computer Engineering,COMP204,4,false
